GEO_ID,NAME,B01003_001E
1600000US3651000,"New York city, New York",8336817
1600000US0644000,"Los Angeles city, California",3979537
1600000US1714000,"Chicago city, Illinois",2693959
1600000US4835000,"Houston city, Texas",2316797
1600000US0455000,"Phoenix city, Arizona",1680988
1600000US4260000,"Philadelphia city, Pennsylvania",1584064
1600000US4865000,"San Antonio city, Texas",1547250
1600000US0666000,"San Diego city, California",1423852
1600000US4819000,"Dallas city, Texas",1343565
1600000US0668000,"San Jose city, California",1021786
1600000US4805000,"Austin city, Texas",979263
1600000US4827000,"Fort Worth city, Texas",913656
1600000US1235000,"Jacksonville city, Florida",911528
1600000US3918000,"Columbus city, Ohio",902073
1600000US3712000,"Charlotte city, North Carolina",885707
1600000US0667000,"San Francisco city, California",881549
1600000US1836003,"Indianapolis city (balance), Indiana",870340
1600000US5363000,"Seattle city, Washington",753655
1600000US0820000,"Denver city, Colorado",727211
1600000US1150000,"Washington city, District of Columbia",705749
1600000US2507000,"Boston city, Massachusetts",694295
1600000US4824000,"El Paso city, Texas",681729
1600000US2622000,"Detroit city, Michigan",670052
1600000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",668580
1600000US4055000,"Oklahoma City city, Oklahoma",655158
1600000US4159000,"Portland city, Oregon",653467
1600000US3240000,"Las Vegas city, Nevada",651297
1600000US4748000,"Memphis city, Tennessee",651088
1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",617630
1600000US2404000,"Baltimore city, Maryland",593490
1600000US5553000,"Milwaukee city, Wisconsin",590157
1600000US3502000,"Albuquerque city, New Mexico",560504
1600000US0477000,"Tucson city, Arizona",548082
1600000US0627000,"Fresno city, California",531581
1600000US0446000,"Mesa city, Arizona",517981
1600000US0664000,"Sacramento city, California",513620
1600000US1304000,"Atlanta city, Georgia",506804
1600000US2938000,"Kansas City city, Missouri",495278
1600000US0816000,"Colorado Springs city, Colorado",478215
1600000US3137000,"Omaha city, Nebraska",478203
1600000US3755000,"Raleigh city, North Carolina",474708
1600000US1245000,"Miami city, Florida",467968
1600000US0643000,"Long Beach city, California",462645
1600000US5182000,"Virginia Beach city, Virginia",449974
1600000US0653000,"Oakland city, California",433044
1600000US2743000,"Minneapolis city, Minnesota",429605
1600000US4075000,"Tulsa city, Oklahoma",401760
1600000US1271000,"Tampa city, Florida",399690
1600000US4804000,"Arlington city, Texas",398860
1600000US2255000,"New Orleans city, Louisiana",390144
1600000US2079000,"Wichita city, Kansas",389914
1600000US0603526,"Bakersfield city, California",384159
1600000US3916000,"Cleveland city, Ohio",380989
1600000US0804000,"Aurora city, Colorado",379312
1600000US0602000,"Anaheim city, California",350351
1600000US1571550,"Urban Honolulu CDP, Hawaii",345055
1600000US0669000,"Santa Ana city, California",332332
1600000US0662000,"Riverside city, California",331369
1600000US4817000,"Corpus Christi city, Texas",326590
1600000US2146027,"Lexington-Fayette urban county, Kentucky",323152
1600000US3231900,"Henderson city, Nevada",320190
1600000US0675000,"Stockton city, California",312682
1600000US7276770,"San Juan zona urbana, Puerto Rico",310323
1600000US2758000,"St. Paul city, Minnesota",308096
1600000US3915000,"Cincinnati city, Ohio",303954
1600000US2965000,"St. Louis city, Missouri",300576
1600000US4261000,"Pittsburgh city, Pennsylvania",300281
1600000US3728000,"Greensboro city, North Carolina",296725
1600000US3128000,"Lincoln city, Nebraska",289096
1600000US0203000,"Anchorage municipality, Alaska",288000
1600000US1253000,"Orlando city, Florida",287435
1600000US0636770,"Irvine city, California",287387
1600000US4858016,"Plano city, Texas",285849
1600000US3451000,"Newark city, New Jersey",281999
1600000US3719000,"Durham city, North Carolina",279447
1600000US0613392,"Chula Vista city, California",274485
1600000US3977000,"Toledo city, Ohio",272778
1600000US1263000,"St. Petersburg city, Florida",265358
1600000US4841464,"Laredo city, Texas",264069
1600000US1825000,"Fort Wayne city, Indiana",262907
1600000US3436000,"Jersey City city, New Jersey",262075
1600000US0412000,"Chandler city, Arizona",261149
1600000US5548000,"Madison city, Wisconsin",259673
1600000US4845000,"Lubbock city, Texas",258870
1600000US0465000,"Scottsdale city, Arizona",258064
1600000US3260600,"Reno city, Nevada",255624
1600000US3611000,"Buffalo city, New York",255300
1600000US0427400,"Gilbert town, Arizona",254115
1600000US0427820,"Glendale city, Arizona",252384
1600000US3251800,"North Las Vegas city, Nevada",251984
1600000US3775000,"Winston-Salem city, North Carolina",247951
1600000US5116000,"Chesapeake city, Virginia",244835
1600000US5157000,"Norfolk city, Virginia",242742
1600000US0626000,"Fremont city, California",241117
1600000US4837000,"Irving city, Texas",239779
1600000US4829000,"Garland city, Texas",239539
1600000US3254600,"Paradise CDP, Nevada",237899
1600000US5103000,"Arlington CDP, Virginia",236842
1600000US1230000,"Hialeah city, Florida",233362
1600000US5167000,"Richmond city, Virginia",230436
1600000US1608830,"Boise City city, Idaho",228965
1600000US3268585,"Spring Valley CDP, Nevada",222372
1600000US5367000,"Spokane city, Washington",222082
1600000US2205000,"Baton Rouge city, Louisiana",220248
1600000US5370000,"Tacoma city, Washington",217834
1600000US0665000,"San Bernardino city, California",215780
1600000US0648354,"Modesto city, California",215196
1600000US0624680,"Fontana city, California",214557
1600000US1921000,"Des Moines city, Iowa",214200
1600000US0649270,"Moreno Valley city, California",213064
1600000US0669088,"Santa Clarita city, California",212975
1600000US3722920,"Fayetteville city, North Carolina",211674
1600000US0107000,"Birmingham city, Alabama",210080
1600000US0654652,"Oxnard city, California",208875
